lcd,pld,void_fraction,surface_area_m2g,surface_area_m2cm3,Nitrogen adsorption,name,Avg. electronegativity,Avg. metal ionization energy,Avg. outer orbital energy,Electron density,Metal-oxygen distance,Avg. linker num.,OMS density,Hydrogen adsorption
11.455,9.77333,0.8444,4968.9,2012.2,1363.7866242265807,XOVPUU,2.592777777777778,7.72638,-0.172056,0.12288062918983464,2.5285089627884423,5.0,0.0277777777777777,1512.0
14.2364,11.7566,0.85937,4994.86,1891.33,1475.663947638288,OWIZAW,2.497766990291262,7.72638,-0.172056,0.11625024677943778,2.561837038634973,5.0,0.0194174757281553,1489.6000000000001
20.9342,10.629,0.912442,4857.11,1813.66,677876.2897712999,EDUVOO,2.5454736842105263,9.394197,-0.222725,0.11259848633338615,2.546260269094305,4.0,0.0,1444.8
7.63453,6.61136,0.815159,5193.82,2987.7,837.9020286870001,EPOTAF,2.5638028169014087,7.72638,-0.172056,0.17610486200974446,2.550824755809158,5.0,0.028169014084507,1388.8
10.7871,9.22291,0.860322,4690.64,2177.45,2633.0803656983744,XAWVUN,2.5469696969696973,7.72638,-0.172056,0.14142140939760187,2.5422830429144536,5.0,0.0303030303030303,1355.2
12.082,9.91355,0.858808,4666.64,2170.26,1109.3431775982292,XEBHOC,2.5469696969696973,7.72638,-0.172056,0.14167916900613162,2.534850859342259,5.0,0.0303030303030303,1344.0
11.6785,9.57613,0.8318,4770.02,2035.73,1156.1700454519448,ERIRIG,2.524950495049505,9.394197,-0.222725,0.12935764681342407,2.3897547947982667,4.0,0.0,1299.1999999999998
18.4908,11.6994,0.882653,4502.81,1734.21,1468.3652611181801,EHIJAH,2.522758620689655,9.394197,-0.222725,0.11720091395047191,2.5195857189333495,4.0,0.0,1276.8
10.7978,7.28639,0.848648,5129.63,2700.85,46515.63672237546,SUKYON,2.4933684210526312,7.72638,-0.172056,0.16198403932068484,2.558533308175256,5.0,0.0210526315789473,1254.3999999999999
20.0581,9.81612,0.885819,4054.08,1889.48,597.4454850309081,LUKLIN,2.5824,7.72638,-0.172056,0.14045537273176398,2.6071918600634176,5.0,0.04,1187.2
20.8835,7.6595,0.8006,4145.12,2139.35,716910.3031986726,VUJBOS,2.528623853211009,7.72638,-0.172056,0.15749097511342228,2.53136459118565,5.0,0.0275229357798165,1153.6000000000001
11.2668,8.58933,0.835909,4046.22,2202.55,4001.6068849121366,JEJWEB,2.5395049504950498,9.394197,-0.222725,0.16499030995944886,2.5033034057457044,4.0,0.0396039603960396,1142.3999999999999
10.0804,7.17795,0.817625,4078.87,2403.94,804.3895767768124,GAHWIX,2.5792,9.394197,-0.222725,0.17916067542076625,2.5300138043606912,4.0,0.032,1120.0
13.8531,6.75838,0.855209,3761.99,2136.71,10362.536766881938,ANUGIA,2.5676923076923077,7.72638,-0.172056,0.17172554652129937,2.5152566065858966,5.0,0.0384615384615384,1052.8
9.64677,7.09331,0.824783,3788.47,2271.34,789.249602975625,SUKYIH,2.554,7.72638,-0.172056,0.18182804000487846,2.5399223340451647,5.0,0.0363636363636363,1041.6000000000001
11.9515,7.15447,0.833422,3571.17,2148.72,3403.9507018458307,RUVKAV,2.6533333333333333,7.72638,-0.172056,0.17923715050421904,2.5439371513416926,5.0,0.0555555555555555,1019.1999999999999
15.5563,9.00897,0.828876,3884.75,2173.25,642.0485360563475,ACUFEK,2.5851612903225805,7.72638,-0.172056,0.1694921186179903,2.544236181163336,5.0,0.032258064516129,1008.0
7.88297,4.15104,0.826706,1136.14,1315.57,782.6877753979318,HIFTOG,2.621132075471698,9.394197,-0.222725,0.17365580943900444,2.5238689719213463,4.0,0.0,963.1999999999999
8.23346,6.98845,0.812524,3444.05,2343.19,679.054106413109,ANUGUM,2.5972222222222223,9.394197,-0.222725,0.205428697048932,2.6016052289064184,4.0,0.037037037037037,940.8000000000001
18.727,9.17011,0.854774,3262.89,1825.21,925.1915456803205,UPOZAB,2.6475308641975306,9.394197,-0.222725,0.16558081316425421,10.0,4.4,0.0,929.6
13.0404,10.5352,0.836888,3817.17,2009.05,984.7351077496202,OLOGEC,2.5903260869565217,9.394197,-0.222725,0.15872446080351485,2.57936312291351,3.75,0.0434782608695652,929.6
12.0562,6.74493,0.829954,3546.24,2193.48,2743.106752158162,LUYHAP,2.6533333333333333,7.72638,-0.172056,0.18425768112229748,2.545741865650002,5.0,0.0555555555555555,929.6
10.1339,5.37207,0.774625,3306.16,2106.46,9206.635935366017,COZMUA,2.584385964912281,7.88101,-0.204497,0.19354678425212402,2.601276830901411,5.0,0.0350877192982456,918.3999999999999
14.0742,9.53484,0.822327,3125.73,2034.36,752.9622549517665,OKABAE,2.680727272727273,7.72638,-0.172056,0.19416626721605698,2.5553283297862897,4.666666666666667,0.0545454545454545,884.8
11.1601,9.18662,0.775226,2873.69,1921.67,707.7427100930832,FUNBEW,2.534390243902439,9.394197,-0.222725,0.19988953136966697,2.63013700067682,6.0,0.0,884.8
12.6394,6.49016,0.815555,3142.61,2129.49,710.1461058071139,EPISOM,2.5675238095238098,7.72638,-0.172056,0.20486598744399556,2.545422507561706,5.0,0.0380952380952381,873.6
13.1498,6.66414,0.7242,2370.57,2105.25,498.51503926781805,BODPAN,2.7199999999999998,7.72638,-0.172056,0.2626001391423848,2.5293311256114066,5.0,0.0769230769230769,504.0
8.70379,4.00935,0.564233,1132.1,1356.59,297.047481009832,RUBTAK,2.666,6.634126,-0.150673,0.3512451561182915,2.7983957088795535,8.0,0.0,268.8
