lcd,pld,void_fraction,surface_area_m2g,surface_area_m2cm3,Nitrogen adsorption,name,Avg. electronegativity,Avg. metal ionization energy,Avg. outer orbital energy,Electron density,Metal-oxygen distance,Avg. linker num.,OMS density,Hydrogen adsorption
23.0353,21.6072,0.951274,6250.13,1065.2,92454.54681507144,XAHQAA,2.5140000000000002,7.72638,-0.172056,0.05235440383854013,2.440218396682701,5.0,0.02,2206.3999999999996
21.8281,20.5859,0.942275,6301.42,1125.91,88549.80966280782,XAHPUT,2.515384615384615,7.72638,-0.172056,0.054835128863573335,2.4984702347230723,5.0,0.0192307692307692,2172.7999999999997
32.0019,17.5518,0.942378,5417.2,1210.38,2117.391914145399,NIBJAK,2.617196261682243,7.72638,-0.172056,0.06762627174738059,2.550845770707896,5.0,0.02803738317757,1848.0
28.4313,15.9175,0.929757,5455.15,1373.25,1323.4691212110358,HEXVEM,2.5891428571428574,7.72638,-0.172056,0.07661903978173151,2.522324671418648,5.0,0.0285714285714285,1780.8
17.2951,15.3322,0.915979,5268.35,1497.61,180865.62348081573,XAHPON,2.5325581395348835,7.72638,-0.172056,0.08695840150532153,2.5072897778835292,5.0,0.0232558139534883,1668.8
14.2292,13.1937,0.889989,5328.69,1909.79,1578.6649875668081,XAFFIV,2.5284210526315793,7.88101,-0.204497,0.10978711212193322,2.6273951009558667,5.0,0.0263157894736842,1590.3999999999999
14.2192,13.2889,0.894844,5171.11,1860.95,1581.4142614777477,XAFFER,2.5223684210526316,9.394197,-0.222725,0.11008339577578859,2.6517954138475606,4.0,0.0263157894736842,1568.0000000000002
14.8391,13.174,0.889939,5194.87,1906.47,1541.5373124091054,XAFFOB,2.528947368421053,7.72638,-0.172056,0.11222480943515395,2.5458477631996463,5.0,0.0263157894736842,1545.6000000000001
12.3692,10.8675,0.871702,5130.58,1921.09,1533.3920354536738,XAHPED,2.52972972972973,7.72638,-0.172056,0.11491028310894232,2.5349887311945416,5.0,0.027027027027027,1523.2
14.3167,13.3759,0.894668,4682.56,1667.85,1622.2557355376048,XAHPIH,2.5833333333333335,7.72638,-0.172056,0.10794142125201255,2.505007724521199,5.0,0.0333333333333333,1411.2
14.4419,10.2051,0.874377,4588.75,2034.97,806.7322584229987,ANUGEW,2.563037974683544,7.72638,-0.172056,0.1342271170671111,2.5393802120313542,5.0,0.0379746835443038,1321.6000000000001
16.8561,8.37658,0.847671,4948.92,2219.35,1142.8972922554042,PUZLOM,2.526181818181818,7.88101,-0.204497,0.13741716116328903,10.0,6.0,0.0,1276.8
9.60031,8.17399,0.827083,4639.46,2439.62,8131.581620949825,DIDDOK,2.5372500000000002,9.394197,-0.222725,0.16112916833821994,2.6470055914063124,5.0,0.025,1276.8
16.8714,10.7377,0.857408,4532.83,1986.92,1263.6354777191498,WAGYUA,2.556543778801843,9.394197,-0.222725,0.13349070662484797,2.5313504489339786,4.0,0.0,1232.0
